id|atm_id|trans_date|bal
1549|4|2004-04-05|1801
1550|4|2004-04-06|1760
1551|4|2004-04-07|2813
1552|4|2004-04-08|2683
1553|4|2004-04-09|2308
1554|4|2004-04-10|2437
1555|4|2004-04-11|3777
1556|4|2004-04-12|2089
1557|4|2004-04-13|2461
1558|4|2004-04-14|2315
1559|4|2004-04-15|2621
1560|4|2004-04-16|2629
1561|4|2004-04-17|2324
1562|4|2004-04-18|1478
1563|4|2004-04-19|1961
1564|4|2004-04-20|2311
1565|4|2004-04-21|2067
1566|4|2004-04-22|2267
1567|4|2004-04-23|2158
1568|4|2004-04-24|2768
1569|4|2004-04-25|2128
1570|4|2004-04-26|1920
1571|4|2004-04-27|1865
1572|4|2004-04-28|1808
1573|4|2004-04-29|2513
1574|4|2004-04-30|2330
1575|4|2004-05-01|2652
1576|4|2004-05-02|2042
1577|4|2004-05-03|1893
1578|4|2004-05-04|1534
1579|4|2004-05-05|1358
1580|4|2004-05-06|1940
1581|4|2004-05-07|1771
1582|4|2004-05-08|1467
1583|4|2004-05-09|1714
1584|4|2004-05-10|1996
1585|4|2004-05-11|2082
1586|4|2004-05-12|2040
1587|4|2004-05-13|3111
1588|4|2004-05-14|3984
1589|4|2004-05-15|3440
1590|4|2004-05-16|2494
1591|5|2002-01-01|1174
1592|5|2002-01-02|1029
1593|5|2002-01-03|1051
1594|5|2002-01-04|1542
1595|5|2002-01-05|1296
1596|5|2002-01-06|686
1597|5|2002-01-07|610
1598|5|2002-01-08|502
1599|5|2002-01-09|491
1600|5|2002-01-10|710
1601|5|2002-01-11|878
1602|5|2002-01-12|737
1603|5|2002-01-13|567
1604|5|2002-01-14|708
1605|5|2002-01-15|597
1606|5|2002-01-16|536
1607|5|2002-01-17|691
1608|5|2002-01-18|568
1609|5|2002-01-19|709
1610|5|2002-01-20|501
1611|5|2002-01-21|585
1612|5|2002-01-22|522
1613|5|2002-01-23|508
1614|5|2002-01-24|735
1615|5|2002-01-25|877
1616|5|2002-01-26|706
1617|5|2002-01-27|337
1618|5|2002-01-28|60
1619|5|2002-01-29|105
1620|5|2002-01-30|87
1621|5|2002-01-31|400
1622|5|2002-02-01|609
1623|5|2002-02-02|655
1624|5|2002-02-03|334
1625|5|2002-02-04|103
1626|5|2002-02-05|228
1627|5|2002-02-06|112
1628|5|2002-02-07|549
1629|5|2002-02-08|870
1630|5|2002-02-09|733
1631|5|2002-02-10|339
1632|5|2002-02-11|72
1633|5|2002-02-12|113
1634|5|2002-02-13|113
1635|5|2002-02-14|506
1636|5|2002-02-15|769
1637|5|2002-02-16|730
1638|5|2002-02-17|389
1639|5|2002-02-18|73
