Date,Close
4/4/2024,270.09
4/5/2024,266.69
4/8/2024,267.56
4/9/2024,269.44
4/10/2024,268.67
4/11/2024,268.62
4/12/2024,267.39
4/15/2024,266.23
4/16/2024,265.43
4/17/2024,269.95
4/18/2024,270.98
4/19/2024,271.99
4/22/2024,275.58
4/23/2024,276.88
4/24/2024,276.75
4/25/2024,275.6
4/26/2024,273.09
4/29/2024,273.55
4/30/2024,273.04
5/1/2024,274.43
5/2/2024,273.28
5/3/2024,270.32
5/6/2024,269.3
5/7/2024,267.5
5/8/2024,268.49
5/9/2024,267.95
5/10/2024,275
5/13/2024,271.32
5/14/2024,270.66
5/15/2024,273.87
5/16/2024,273.51
5/17/2024,272.38
5/20/2024,267.87
5/21/2024,265.87
5/22/2024,265.77
5/23/2024,257.93
5/24/2024,258.11
5/28/2024,253.54
5/29/2024,249.37
5/30/2024,252.07
5/31/2024,258.89
6/3/2024,259.75
6/4/2024,262.72
6/5/2024,259.99
6/6/2024,260.72
6/7/2024,256.21
6/10/2024,253.81
6/11/2024,254.28
6/12/2024,254.48
6/13/2024,253.7
6/14/2024,253.58
6/17/2024,253.51
6/18/2024,250.79
6/20/2024,253.8
6/21/2024,259.39
6/24/2024,260.38
6/25/2024,257.38
6/26/2024,257.83
6/27/2024,258.17
6/28/2024,254.84
7/1/2024,249.99
7/2/2024,247.79
7/3/2024,250
7/5/2024,251.09
7/8/2024,247.85
7/9/2024,245.82
7/10/2024,250.49
7/11/2024,254.8
7/12/2024,253.9
7/15/2024,251.53
7/16/2024,257.27
7/17/2024,261
7/18/2024,259.52
7/19/2024,257.28
7/22/2024,259.54
7/23/2024,254.05
7/24/2024,253.37
7/25/2024,251.46
7/26/2024,252
7/29/2024,261.42
7/30/2024,266.44
7/31/2024,265.4
8/1/2024,268.75
8/2/2024,276.69
8/5/2024,268.45
8/6/2024,270.06
8/7/2024,269.37
8/8/2024,271.19
8/9/2024,267.91
8/12/2024,269.46
8/13/2024,270.31
8/14/2024,271.15
8/15/2024,274.87
8/16/2024,278.49
8/19/2024,287.55
8/20/2024,285.63
8/21/2024,289.71
8/22/2024,289.21
8/23/2024,289.52
8/26/2024,288.68
8/27/2024,289.64
8/28/2024,287.05
8/29/2024,287.86
8/30/2024,288.66
9/3/2024,285.52
9/4/2024,288.03
9/5/2024,287.97
9/6/2024,289.51
9/9/2024,291.29
9/10/2024,291.27
9/11/2024,290.23
9/12/2024,292.35
9/13/2024,296.53
9/16/2024,296.69
9/17/2024,293.75
9/18/2024,292.03
9/19/2024,293.85
9/20/2024,296.83
9/23/2024,299.06
9/24/2024,300.27
9/25/2024,300.47
9/26/2024,303.65
9/27/2024,303.69
9/30/2024,304.51
10/1/2024,302.98
10/2/2024,303.76
10/3/2024,303.45
10/4/2024,303.76
10/7/2024,300.85
10/8/2024,301.9
10/9/2024,303.83
10/10/2024,304.04
10/11/2024,305.04
10/14/2024,309.84
10/15/2024,313.34
10/16/2024,312.92
10/17/2024,314.7
10/18/2024,316.56
10/21/2024,314.89
10/22/2024,314.69
10/23/2024,298.57
10/24/2024,301.58
10/25/2024,292.61
10/28/2024,296.79
10/29/2024,295
10/30/2024,291.52
10/31/2024,292.11
11/1/2024,295.21
11/4/2024,292.85
11/5/2024,297.32
11/6/2024,294
11/7/2024,294.66
11/8/2024,298.97
11/11/2024,301.53
11/12/2024,298.65
11/13/2024,297.35
11/14/2024,298.56
11/15/2024,292.63
11/18/2024,291.1
11/19/2024,290.73
11/20/2024,290.91
11/21/2024,288.47
11/22/2024,290.28
11/25/2024,296.19
11/26/2024,296.33
11/27/2024,295.08
11/29/2024,296.01
12/2/2024,292.44
12/3/2024,294.5
12/4/2024,295.09
12/5/2024,299.47
12/6/2024,298.98
12/9/2024,301.37
12/10/2024,300.71
12/11/2024,296.1
12/12/2024,296.63
12/13/2024,296.6
12/16/2024,297.71
12/17/2024,296.08
12/18/2024,290.88
12/19/2024,290.23
12/20/2024,292.68
12/23/2024,291.29
12/24/2024,293.99
12/26/2024,294.8
12/27/2024,293.62
12/30/2024,289.6
12/31/2024,289.89
1/2/2025,292.51
1/3/2025,294.78
1/6/2025,292.18
1/7/2025,289.34
1/8/2025,286.9
1/10/2025,282.31
1/13/2025,283.63
1/14/2025,281.58
1/15/2025,282.3
1/16/2025,279.74
1/17/2025,280.95
1/21/2025,282.61
1/22/2025,281.35
1/23/2025,284.43
1/24/2025,285.46
1/27/2025,293.09
1/28/2025,291.15
1/29/2025,290.11
1/30/2025,290.32
1/31/2025,288.7
2/3/2025,290.05
2/4/2025,289.77
2/5/2025,288.83
2/6/2025,294.36
2/7/2025,294.3
2/10/2025,308.42
2/11/2025,310.21
2/12/2025,307.6
2/13/2025,310.02
2/14/2025,308.55
2/18/2025,304.83
2/19/2025,301.94
2/20/2025,303.05
2/21/2025,304.81
2/24/2025,307.57
2/25/2025,310.72
2/26/2025,304.27
2/27/2025,309.95
2/28/2025,308.33
3/3/2025,304.29
3/4/2025,305.77
3/5/2025,307.45
3/6/2025,310.37
3/7/2025,321.29
3/10/2025,317.25
3/11/2025,306.76
3/12/2025,299.4
3/13/2025,297.5
3/14/2025,299.83
3/17/2025,303.97
3/18/2025,303.6
3/19/2025,306.92
3/20/2025,307
3/21/2025,305.44
3/24/2025,305.67
3/25/2025,306.92
3/26/2025,313.58
3/27/2025,312.69
3/28/2025,307.09
3/31/2025,312.37
4/1/2025,313.63
4/2/2025,311.58
4/3/2025,318.27
4/4/2025,300.11
4/7/2025,299.89
4/8/2025,299.83
4/9/2025,303.96
4/10/2025,306.78
4/11/2025,309.9
4/14/2025,316.07
4/15/2025,312.48
4/16/2025,309.1
4/17/2025,311.3
4/21/2025,308.72
4/22/2025,319.08
4/23/2025,318.48
4/24/2025,316.22
4/25/2025,316.74
4/28/2025,316.81
4/29/2025,314.5
4/30/2025,319.65
5/1/2025,313.64
5/2/2025,311.96
5/5/2025,315.72
5/6/2025,316.79
5/7/2025,318.13
5/8/2025,313.49
5/9/2025,313.68
5/12/2025,311.92
5/13/2025,308.69
5/14/2025,307.5
5/15/2025,314.48
5/16/2025,318.61
5/19/2025,321.23
5/20/2025,319.8
5/21/2025,316.44
